Total	Review
5	['배달도 빠르고 맛도 괜찮은데요 이걸 말해야하나 말아야 하나 고민하다가 씁니다 떡볶이하고 치킨에서 머리카락이 나왔습니다 내껀가 싶었는데 자세히 보니 많이 짧네요 사진상 제일 오른쪽이 제 머리카락입니다 조리를 하다보면 당연히 실수도 있고 머리카락이 들어갈 수도 있다라고 생각해서 평소에도 음식점에서 머리카락 나오면 그냥 빼고 먹고 나중에 사장님들한테 알려드리고 그러거든요 저는 괜찮은데 혹여나 민감하신분들은 큰 클레임을 걸 수 있어 조리할때 조심하셨으면 하는 마음에 리뷰로 남깁니다 떡볶이도 맛있고 치킨도 맛있어요']
4	['언제 배달 되나요 조금만 기다려주세요 하고서는 너무 오래 걸려요  언제 배달 돼나요 어디서 물어봐야 할지 몰라서 여기 리뷰 남깁니다']
5	['처음 시켜봤는데 맛있게 잘 먹었습니다 또 시켜 먹을께요 ']
5	['맛있게 잘 먹었습니다 ']
5	['치킨이 훌륭했습니다 굿굿']
5	['잘먹었습니다 맛있었어요']
5	['역시 디디치킨 개인적으로 디디치킨은 파닭이 진짜 최고인 것 같아용 파도 엄청 넉넉하게 챙겨주셔서 저처럼 파닭에서 닭보다 파를 더 많이 먹는 사람한테는 진짜 최고예요 강정도 생각보다 너무 너무 맛있었고 간장도 간이 진짜 딱 맞아서 너무 좋았어용 세트 메뉴로 시킨 떡볶이도 진짜 말이 필요없어요 디디치킨은 떡볶이마저 맛이써 리뷰 이벤트로 받은 치즈볼도 맛있었구용 배달이 생각보다 진짜 진짜 너무 빨랐어용 집들어오는 길에 주문했는데 치킨이 저보다 더 빨리 도착해서 엄청 신기했어용']
5	['잘먹었습니당 치킨은 물론이고 떡볶이도 꿀맛이에요']
5	['매번 맛있게 잘먹었습니다']
5	['디디치킨은 순살도 국내산이라 참 맛있습니다 로제 떡볶이에 후라이드 찍먹이 또 꿀맛 다음번엔 빠진 리뷰 이벤트 함께 부탁드립니다 잘 먹었습니다']
5	['짱짱맛잇어요다음에 또 멱을게요']
5	['정말 맛있게 잘 먹었습니다 로제떡볶이 넘 맛나고 치킨도 바삭한게 굿이요']
5	['맛있게 잘먹었습니다 하지만 피자볼개를 주문했는데 치즈볼개와 피자볼개가왔네요 하지만 그래두 잘먹었습니다 또 시켜먹으러올게요']
4	['늦은시간 주말 맛있게 야식 먹었네요']
5	['이사 오고 나선 처음 시켜본것 같은데 예전과 구성이 조금 바뀌고 양은 살짝 준것 같은데 맛은 여전히 좋네요특히 예전에 없던 떡볶이를 아이들이 좋아하네요 그리고 배달이 빨라서 따뜻하게 먹을수 있어 좋았어요']
5	['맛있게 잘먹었어요 그런데 단맛이 강한편이라 달달한 맛에 대해 호불호가 있을거 같아요']
5	['너무너무너무 맛있어요김말이도 서비스로 주시고로제떡볶이랑 간장이 미쳤다 미쳤어']
5	['배달도 빠르고 서비스치즈볼도 잘받았습니다']
5	['양도 많고 맛있게잘먹었습니다']
5	['여러번시켜서 믿고 그냥 재결제했는데 이런맛집이 왜 외부 봉지도 없이 박스만 배달이 왔을까요 간만에 쫌 찝찝했습니다   신경부탁드립니다 맛은 늘있죠']
5	['역시 자주 시켜먹을 이유가 있는 곳 배달도 빠르고 양도 푸짐 맛도 아주 만족합니다']
5	['언제나 맛있는 치킨양도푸짐 맛도 굿']
5	['원하는 맛이 재고가없어서 아쉽지만 떡볶이도 맛잇구 치킨도 바삭하네용 배달도빠르고요']
5	['바삭 튀겨져 맛있어요 초등 아들은 양념치킨에 있는 떡볶이가 맛있다고 하네요 함께 온 떡볶이도 맛있어요']
5	['맛은 항상 좋아요 크림볼 대신온 고구마스틱도 맛있어요 쿠폰은 지난번에도 한번 없었구 오늘도 없었어요 쿠폰 행사는 끝난건거요 치킨도 맛있고 떡볶이 역시 최고예요 치킨집이지만 떡볶이 맛집인거 같아요']
4	['치킨과 떡볶이를 같이 먹을수있어 좋았어요 맛도 괜찮아요']
3	['기름을 좀많이 빼야할거같아요 느끼해요 간장은 짜고']
4	['리뷰서비스로 치즈볼선택했는데 없어서 안주신거면 이해하겠죠근데 시꺼먼 치즈스틱은후라이드도 타서 탄맛나고그냥 싸게 시켜먹은거 잘못이려니 하고 파닭으로 해서 먹는데 다신 안시킬듯요']
5	['다양한 치킨맛과 딸이 좋아하는 로제떡볶이 맛있게 먹었습니다']
5	['양도 맛도 너무 좋았어요 다음에 또 시켜먹을게요']
1	['밀봉이 잘못된건지 떡볶이국물이 다 튀어나왔네요 거기다 가지맛으로 주문한건데 순살이 가지가왔네요 떡볶이보고 빡쳐 전화했었는데 밥먹으려고 가족다같이앉아서 개봉했더니 순살이개라니 그나마 순살변경안했으면 진짜 답이없었겠습니다 다시가져오라고 하려다 재배송을 기다릴수도없고 환불하고 다른곳시키자니 그것도 또 기다려야하니 그냥먹고있네요 맛도먹을만하고 가격도 무난해서 간혹 시켜먹던곳인데 진짜 오늘은 너무 최악이었습니다']
5	['맛있습니다 다음에는 닭강정 말고 다른 맛 고르게네요']
5	['서비스 확실하고 맛나요 ']
5	['양도 푸짐하고 맛있습니다 서비스로 주신 치즈볼도 잘 먹겠습니다']
5	['우리 재민이 재우고 신랑이랑 한잔 너무 맛있어요']
5	['여기 간장 짜지않아 애가 좋아합니다 웨지감자 시켜봤는데 부드럽긴 한데 조금 더 바싹했음하는 약간의 아쉬웠어요 리뷰이벤에 크림치즈가 없으셨나봐요 김말이도 맛있네요 잘먹었습니다']
3	['바쁘셨는지 요청사항은 하나도 안들어주시고 양념은 다묻지도 않았어요 리뷰이벤한다했지만 서비스안주셔서 별빳습니다']
5	['후루룩 떡볶이 정말 추천하구여 치즈볼이 진짜 쫀득하니 맛있어여 추천합니다']
5	['배달시키구 운동갔다가 돌아오니 얼마없드라구영 한시간 후에 맛봤는뎅 간장두 아직 바삭함이 좀남아있공 아들이 로제는 순삭했대요 식어도 맛있는거 보니 따뜻할땐 더맛있었을꺼 같아요 못먹은 후라이드가 젤맛났대여 담엔 바로 먹고싶네요 맛있게 잘먹었습니당']
5	['배달도 빨리왔고 맛있어요']
5	['년가까이 매주 한번씩은 추문하는집이에요 후라이드 양념도 맛있지만 간장도맛있어요 다른 간장치킨보다 짠맛이 덜하고바삭바삭해서 더 맛있어요']
5	['배부르게 맛있게 잘먹었습니다']
5	['사장님 리뷰 이벤트 끝났나요 리뷰 이벤트 신청했는데 치즈볼이 안왔네요 치킨은 따뜻하게 잘 도착했습니다 맛있게 잘 먹을게요']
5	['조오오오오오온맛탱구리이이이이 레알 후루룩 떡볶이']
4	['치즈볼 개먹고 찍은 사진인데요 로제떡볶이에 치킨 찍어 먹으면 맛 있어요 양이 많아서 담날 데우지않고 먹었는데요 그래도 맛있네요']
5	['양도 푸짐 고기도 맛있구요 서비스로 주신 치즈볼도 맛있었어요']
5	['잘먹었습니다 배달도빠르네용']
5	['맛있어요 여기 치킨이 진리임 바삭바삭 떡볶이도 굿']
5	['너무늦었어요 죄송함니다 사진을못찍었내요 이런 치킨 양도많고 너무 맛있어요 배달이 약간 늦었지만 그래도 기분좋게 먹을만큼 맛있었어요']
5	['너무 냄새가좋아서 먹다가 중간에 찍었어요 배달빠르고 맛납니다 ']
5	['맛있었어요 다음에도 맛있는치킨 부탁드려요']
5	['비오는날 가족이 맛있게 잘먹었어요']
5	['잘먹었습니다번이상 주문해서 먹었는데도 항상 맛있네요']
5	['두번째 주문인데 역시 넘 맛있네요 앞으로도 자주 먹을것 같아요']
5	['먹는중이네요 의외로 양념이 맛있습니다']
5	['오늘은 순살 없대서 뼈닭으로 먹었어요 뼈닭도 맛나네요 근데 왜 순살보다 양이 적은느낌일까요  근데 저번에도 그렇고 이번에도 리뷰 서비스 안주시네요']
5	['맛있어요 떡볶이는 첨인데 맛있어요']
5	['매번만족  너무 좋아요 ']
5	['가족이 다 먹기 배부를정도로 양이며 맛나게 잘먹었습니다']
5	['만점 맛 집 우리 입맛에는 딱이에요']
5	['아이들과 먹을땐 맵지 않은 디디치킨 먹어요 양도 많고 맛도 있고 좀 매콤한게 먹고싶어서 악마와 불타중 덜 매운 불타시켰는데 이것도 넘나 매워요 악마는 시도조차 못 할듯요 그래도 맛나게 먹었습니당 참 리뷰이벤 치즈볼 안왔어요 큰아들이 좋아하는건뎅']
4	['맛 양 가격 모두 맘에 들어서 항상 시켜먹는곳인데 오늘은 제가 일진이 안좋은건가요 젓가락 개 보내달라고했는데 하나도 안들어있고 배달하시는분은 영수증에 결재완료라고 되있는데 기다리길래 나갔더니 현장결재로 되있다고하고 오늘은 좀 실망스럽네요']
5	['떡볶이세트 너무 좋아요 배달기사님도 너무 친절하셧어요 너무 맛잇게 잘먹었습니다']
5	['사진은찍어야하는데 애들챙겨주다보니 못찍었어요 맛있어요 잘먹겠습니다']
5	['맛나요 쩝쩝 치킨매니아인데 디디치킨으로 고정합니다']
5	['떡볶이 서비스까지 주셔서 감사합니당']
4	['좀 식어서 와서 아쉬웠어요  일회용 수저도 안갖다주시고 국물 떠먹으려 했는데']
5	['언제나 맛있습니다 드셔보셔여']
5	['맛있어요 역시디디떡볶이도맛나구용 치킨도최고입니다먹다 생각나서찍어서올려용']
5	['너무맛있습니다가성비양도대박 무조껀 치킨은여기 떡볶기도 작은줄알앗는대 맛도 양도대박 특히 배달해주신분이 사장님 같으신대 너무친절하시고 젠틀하심']
5	['일만에 또 먹었어요 요청 사항 잘들어주시고 배달도 빠르고 양념 바꾸는거 때문에 전화드렸는데 응대도 친절히 잘해주셨어요 떡볶이도 맛나네요']
5	['맛있게 잘 먹었어요 특히 양념이 떡도 있고 맛있네요']
5	['여기 닭 염지가 안맵다고 추천받아서 시켰어요 다른곳들은 닭이 맵거나 냄새나서 걱정했는데 다행이 아이도 잘먹고 요청사항도 잘들어주시고 첨 시키는거라 번이나 전화문의 드렸는데 넘 친절히 응대해주셔서 다시 한번 감사드려요 여기 양 많아요 저희식구들 다른곳 두마리닭 먹음 모자른데 다들 배불리 먹고 몇조각 남았어요 에프에 돌려서 간식으로 먹어야겠어요']
5	['급히 먹느냐고 사진을 못찍었네요 너무 맛있었어요']
5	['사장님이신지 대행직원분이신지 모르겠지만 새해복 많이 받으라고 인사해주셔서 별거아니지만 너무 기분좋게 먹었습니다 감사합니다 번창하세요']
5	['믿고먹는 디디치킨입니다 ']
5	['여기떡볶이랑 맛있어서 시켰는데요 음식이 다식어서오고  떡볶이는 다뿔어서오고 치킨은 옆으로떨어져있고 너무하세요 그래도 치킨떡볶이는맛있어요 다음엔신경더써주세요']
5	['양도많고 세트메뉴도 조합이 좋네요 맛있게 잘먹었네요']
4	['오랜만에 순살먹어봣는데 역시 치킨은 뼈가 질리인것 같아요그래도 항상 믿고 먹는 디디치킨 짱']
5	['아쥬 맛나게 잘먹었습니다담 번에 또 주문요']
3	['떡볶이 맛없어 까나리액젓 맛 많이 느껴짐 양냠치킨 안 떡이 더 맛있음 아니 훨씬 몇몇몇배']
5	['맛있어요배달이 한시간걸렸어요']
5	['저번에시켜먹고 맛있어서 또시켰어요 떡볶기도 맛있습니다']
5	['맛있었어요 비가오고 날씨가 추워서그런지 조금 식어서와서 조금 아쉬웠어요 그래도 양도많고 맛있었어요']
4	['양념 치킨은 좀 단맛이 강해서 별하나 뺐어요 나머진 다 좋은거 같네요 악마소스가 적당히 매워서 굿입니다']
5	['매번시켜먹 가지맛 주문을 잘못해서 네식구 소식하게 생겼네요']
5	['떡볶이를 먹는데 일회용나무젓가락수저를 안주셔서 좀 당황스럽고 불편했습니다  하지만 다른건 다 괜찮았습니다']
5	['떡볶기 맛있어요 후라이드도 괜찮구요 잘먹었습니다']
5	['치킨은언제나맛있고 오늘배달오셨던아저씨는 너무귀여우셨어요']
5	['치킨 맛있게 잘먹었습니다 리뷰이벤 치즈볼도 너무 맛났어여 최고최고 ']
5	['맛있게 잘 먹었습니다 떡볶이도 정말 맛있네요']
5	['역시맛잇고 배달도빠르고 일품입니다']
5	['눈온날 배달늦는건 이해하는데 오백원 내고 추가한 소중한 치킨무가 누락되어 별점하나 뺍니다']
1	['눈와서 배달 안되면 안된다고 미리 연락도 안주고 예상 한시간 넘어 분 기다리다 직접 연락하니 그때서야 바람 맞히네요 정말 매너꽝 맛도 보나마나겠네요 다른 브랜드는 주문하자마자 바로 사과하면서 연락줍니다']
4	['배달이 분 넘게 늦었지만 안전하게 와주셔서 감사해요 리뷰이벤트 작성한다고 했는데 바쁘셨는지 아쉽게도 아무 것도 안왔어요 그래도 맛있게 잘 먹었습니다']
5	['닭강정양념 넘 맛있습니다 그냥 술술 들어가요 맵지도 않아서 아이들도 좋아할것 같습니다다만 간장치킨은 소스가 적은건지 맛이 덜해서 아쉬웠어요 양도 두마리치곤 적은 느낌인데 이건 주관적인거니까요 전체적으로 맛나게 잘 먹었습니다']
4	['맛있어요 배달도 빨라요']
4	['떡뽁이랑 양은 좋았는데 치킨은 퍽퍽살이 좀많아서 부드러운치킨을 선호하시는 분들은 추천안할게요']
4	['그저그랬어요다시 시켜먹기는 좀']
5	['세 가지 맛 다 맛있었고 양도 괜찮아서 배부르게 먹었습니다 지난번에도 먹었는데 이번에도 괜찮네요 다음에도 주문할 것 같아요 오자마자 먹어서 사진이 좀 그렇긴하지만 맛있었어요']
5	['치킨맛있고 떡볶이도 진한맛이 좋았습니다']
1	['양념소스 추가했는데 안주셨어요 전화도 안받으시구']
3	['맛은별로 양은 가격대비 많아요']
4	['닭다리에서 누린내가 좀 났어요 그리고는 소금이나 기본양념소스 다른곳에서 먹을땐 주던데 이것도 지점차인가요 소스는그렇다치고 소금이라도 좀 주시지 떡볶이랑 해서 잘먹었습니다']
5	['너무 맛있어요 치킨도  떡볶이도 아주 맛있답니다 최고에요 ']
5	['전에도 시켜먹었었는데 양도 많고 맛있어요']
4	['세가지맛 다섯식구가 맛나게 먹었어요 파채도 많아서 반찬으로 써도 될듯해요']
5	['맛있어요 먹느냐 사진을 못 찍었어요']
5	['단짠단짠 갈릭 너무 좋아요 떡볶이도 베이직한 맛 ']
5	['엄청양많고엄청맛있어요 처음사먹어봤는데 재구매각이용']
5	['우리 아이들 좋아하는 디디치킨 쿠폰도 개 넘게 모았나봐요 평일 주문에 사용하면 되지요']
5	['떡볶이 셋트가 있어 주문했어요 떡볶이양이 살짝 작은것 같지만 치킨이랑 함께 먹으니 배부르네요']
5	['치킨은 맛있써요 그런데 떡볶이는']
5	['퍽퍽한 감이 없지않아있지만 괜찮아요']
5	['맛있어요 먹느냐사진을못찍었어요']
5	['닭날개와 다리 좋아하는데 맛난것만 먹을 수 있어서 좋았어요 배달시간도 빠르고 만족합니다']
5	['디디치킨은 우리 아이들 좋아하는 치킨']
5	['맛있어요 특히 양념치킨 너무 맛나네요']
5	['순살상태도 좋고 웨지감자도 양도 많이주셨네요 맛있었어오']
5	['맛있네요 담에 또 주문할게요']
5	['요청사항확인차 매장에서 전화가 와서 당황하긴했지만 부탁드린대로 잘 왔네요']
5	['세가지맛맛있어요 살 딸램 양념맛에 반했네요']
3	['음식은 잘 받았습니다맛도 좋아요아이들이 잘먹네요그런데 순살은 가슴살만 쓰시는건가요 가슴살뿐인거같네요순살은 안시킬듯']
5	['맛있게 잘먹었습니다 다음에도 똑같이 시키려구요 ']
4	['콜라 대신 무를 하나 더 달라고 했는데 콜라가 왔네요 ']
5	['양도 적당하고 맛있어요']
1	['솔직히 별 하나도 아까움 배달은 느리지 맛은 없지 그리고 원짜리가 할인 원이라길래 클릭했는데 배달비가 원 결국 낚이고 그건 그렇다쳐도 맛은 내 기준에선 전혀 맛있는게 아니었음 양념도 다른데와 비슷한 소스 맛 나는데 자극적임 아래 다 맛있다는 글들 많은데 도대체 뭐가 맛있다는건지 일일이 묻고 싶을 정도임 다음부턴 절대 먹을 일 없음 원 땅바닥에 뿌림 돈 아깝네']
3	['오늘 바쁘셨는지 메모내용을 확인안하셨나봐요 양념후라이드로 주문요청했는데 변경안되서 그대로 왔네요']
3	['푸짐하고 좋아요 피크타임에는 너무오래걸려요']
5	['맛있었어요 나중에도 먹을게요']
5	['처음 먹어봤는데 진짜 맛있어용 간장맛이랑 치즈볼 진짜 감동맛']
3	['배달은 좀 늦고 치킨은 식어서 오고 쫌 그랬어요']
2	['할인한다고 해서 주문했는데 실망이 큼 아무리 순살이라도 거의 다 뻑살만 튀기셨소 그리고 사진의 간장치킨에 간장 어디 후라이드로 잘못 시킨줄 알았네']
5	['트리플번 시켰는데 번이 왓네요 그냥 먹긴하는데 신경좀 써주세요']
5	['리뷰이벤트 없어도 리뷰를 써야하는 맛있는 치킨집 배달도 빠르고 양도 많고 맛있었어요']
5	['바삭하니 맛있네요 처음 주문인데 양도 많고 배달도 시간안에 도착했어요']
5	['배달 빨리와서 잘 먹었습니다']
5	['언제나 시켜먹는 디디치킨 양도 많고 맛도 좋아서 항상 시켜먹는 디디치킨']
1	['배달한지 시간분걸림 배달예정시간보다분후에옴 무슨일인지 치킨은 다식음  전자렌지나 에어후라이어에 돌려먹어야할듯 뭡니까이게 또띠아 이건 심지어 얼어붙은 상태로옴 와 이거 사람먹으라고 배달한건지 마트에서 냉동식품 즉석조리식품 배달한건지 솔직히 한번이라도 들여다봤으면 이건아니지 다신안시킵니다']
5	['디디치킨 늘 생각나는 맛 정말 양도 많고 맛있어요']
5	['매번 시켜먹으려면 주문취소가 되서 속상했는데 이날은 성공  딸친구가 와서 시켜줬는데 아주맛나게 먹었어요 항상 뭘 먹을까 고민하다 세가지맛 선택은 굿초이스  맛나게 잘먹었어요']
5	['오자마자 먹기 시작해서 몇조각이 빠진 상태예요  늘 시켜먹는 디디치킨이에요 세가지맛 골고루 취향에 따라 먹을수 있어 좋아요']
5	['달고 부드럽고 맛있었어요']
4	['군인시절 즐겨먹던 디디치킨 간만에 찾아 또 맛봤습니다 더욱 맛있어졌네요']
5	['오늘은 요청사항 빠짐없이 들어주셔서 넘 좋았어요 잘먹었습니당']
5	['후라이드 양념 간장까지 모두모두 맛있어요']
4	['일주일에 한번씩은 꼭 주문하는집인데 어쩔땐 캔콜라작은것도 안주실때가있고 어쩔땐 미리주실때도있고 알수가없어요 그리고 어제는 주문한지 시간이되도록 배달이안오길래 전화했더니 도착할때됬다더니분이되도록안오길래 확인좀 해주실래요그랬더니 네 그러면서 제가 전화끊은줄알고 아이씨그러면서 끊으시네요 제가확인해달라는건 요기요에서 주문했을때 누락된적이있어서 누락인지 확인해달란거였는데 저희딸이 이집치킨이랑 뿌링을 좋아하는데 어제통화할때 스피커폰으로 아이씨하는거듣고는 속상해하네요 어젠 정말 실망했어요 맛은있지만 서비스는']
4	['파닭소스 추가했는데 파는 원래 안주시는건가요 후라이드먹고 남은거 파닭해먹으려고 주문한거였는데']
5	['너무 맛있게먹었어요 닭강정도 맛있고 양도 많고 역시 디디치킨']
5	['항상 치킨은 여기서 먹습니다 맛있어요']
5	['우리집 땡칠이도 원하는 치킨']
5	['양이좀적었어요 평소보다는요 잘먹었습니다']
1	['에 나 따돌림 당하고 있는 걸까나 패밀리인데 한명분이라니 어쩐지 최근 주변인들에게서 미움받는다는 생각을 하곤 했지만 진짜냐고']
2	['디디치킨 오랫만에 시켜봤네요오']
5	['맛나요 또 시켜먹을 듯']
5	['늘 시켜먹는 맛집이에요']
4	['자주 사 먹었는데 한동안 배달앱에 안보여서 영업을 안하는줄 알았는데 반갑네요후라이드 앙념 다좋지만 이곳 간장이 특히 좋아요']
5	['매직버터 스러운맛 쌈타코도 맛있음']
4	['노크부탁드렸는데 벨을 눌러버리네요  낮잠시간이라서 몰래 먹을랬더니 아기 벌떡 깨버렸습니다  하하 깬김에 아기랑 같이 맛있게 먹었네용  일회용품은 부탁드려도 안주시는건가봐요  배달시킬때 참고하세요 ']
3	[' 생각보다 양은 좀 적네요 각각의 맛도 그냥그냥 합니다']
5	['전화로주문변경한대로 잘왔어요 매운맛은 엄청매운정도는아니고 딱적당히매워요 맛있어요 떡도말랑말랑 까르보는 늘먹던맛 양파많이해서먹으면 더맛나여 둘이먹는데 양이많아서 후라이드는 손도못댔어용 가성비굿 잘먹었슴당']
5	['배달은 분 정도 늦었고 벨 누르지말랬는데 벨 누르고 주고 가셨어요 요청사항 확인좀 해주세요 ']
4	['친절한배달에 맛있게잘먹었어요']
4	['먹을만 했구요 후라이드에 찍어먹을 소금 주셨으면 더 좋을뻔 했네요 잘 먹었어요']
1	['최악입니다 배달이 엄청 늦어요 먹기도 전에 최악이라는걸 알았습니다']
4	['배달 잘 받았습니다 까르보나라는 조금 힘들었습니다']
5	['우리집 아이들 최애 치킨']
3	['맛이 너무 가지 맛이 입에서 따로 놀고있고 너무 느끼함']
5	['맛있게 잘 먹었습니다 양도 푸짐하고 해서 정말 맛있게 먹었어요 동샹은 퍽퍽살을 좋아하는데 많다고 좋아하네여 코로나 때문에 힘드실텐데 잘 해쳐나가시길 바랍니다']
5	['항상 잘 먹어요 감사합니다 ']
5	['배달이빠르고양도많고맛있습니다 굿이에요']
5	['배달 빠르고 튀김옷은 바삭합니다 다만 매직버터맛이 제취향이 아니네요']
5	['간장맛 양념이 너무 적게 묻어서 거의 후라이드 수준 이었어여 그것만 빼면 만족합니다']
2	['치킨 튀김 두껍고 부분적으로 튀김반죽이 떡져있음']
1	['배달은 요청한대로 잘 왔어요 뼈치킨은 맛있어서 자주 시켜먹었었는데 오늘은 뼈 버리기가 귀찮아서 순살로 시켜봤어요 튀김옷이 반 이상이에요 양념은 버무리다 만것 같아요 튀김옷맛 밖에 안나요 튀김옷밖에 없으니까요 실망스러웠습니다']
4	['늘 주문해먹어요치밥하고 치맥하고 치즈스틱도 맛나고다양한맛으로 모두가 만족했어요']
3	['가지 맛을 경험해 볼 수 있어 좋네요 배달하시는 분이 문앞에 연락없이 그냥 두고 가신다는 분이 있다고했는데 여기는 문자도 주시고 잘 먹었습니다']
4	['두마리 치킨에 세가지 맛이라서 좋습니다 배달이 오래걸리는건 좀 아쉽네요 잘 먹었습니다']
5	['오랜만에 세가지 맛으로 주문했는데 먹을만 했어요']
5	['혼자 먹기 딱좋은양이다']
5	['와  이집이야말로 가격부럽지않게 먹을 양심있는집입니다 ']
4	['맛있게 잘 먹었습니다양념도 듬뿍주시고 요청사항도 확인해주시고  조만간 또 시켜먹을께용']
5	['날개랑다리로 잘못 주문했지만바삭하니 맛나고온가족이 맛있게 잘먹었습니다']
3	['맛있어여 코로나 조심하세용']
5	['또띠아 싸먹으니 별미에요']
3	['배달시간은 정확히분소요됨 다리 날개만 많고 살점이 별로없음']
5	['너무 잘 먹었습니다 급하게 해치워서 사진이 없지만 맛 좋고 가지맛 굿 앞으로 자주 시켜 먹을게요']
4	['혹시 패밀리 사이즈엔 콜라가 안오는 건가요 메뉴 사진엔 있어서 따로 주문을 안했었는데']
5	['사장님 센스가너무 좋습니다 양도 많고 맛도 좋고 치킨  바삭바삭해요  춘권 잘먹었습니다 원래 리뷰같은거 잘 안쓰는데 센스에 감동해서 씁니다  배불러서 치킨남았네요 저녁 야식으로 먹어야겠네요']
5	['잘먹었습니다 자주 시켜먹고있엉']
5	['배달하시는 분이 친절하셔서 좋았습니다']
5	['순살치킨 맛이 최고였어요']
5	['너무 맛있어요 맛있게 잘 먹었습니다 ']
5	['오랜만에 먹었는데 맛있었어용']
