,Category,Location,Restaurant,UserID,Menu,Review,Total,Taste,Quantity,Delivery,Date
16,치킨,강남구 역삼동,BBQ-서초점,ki**님,황금올리브핫윙/1,포장으로 할인받아서 저렴하게 잘 먹었습니다.,5,5,5,,2021년 6월 26일
17,치킨,강남구 역삼동,BBQ-서초점,si**님,황금올리브치킨순살양념/1,괜찮아요맛있어요~ 양념좀만더 넉넉히 주심 더 좋아요,5,5,5,,2021년 6월 26일
18,치킨,강남구 역삼동,BBQ-서초점,ka**님,황금올리브속안심/1,맛있게 먹었습니다 감사합니당,5,5,5,,2021년 6월 26일
19,치킨,강남구 역삼동,BBQ-서초점,ek**님,황금올리브닭다리/1(추가메뉴(케이준감자)),바삭거림이 조금 들해서 아쉬웟어요ㅠ,4,4,4,5,2021년 6월 26일
20,치킨,강남구 역삼동,BBQ-서초점,fr**님,"자메이카 통다리구이/1,코카-콜라 1.25L/1",원래 기본 조금만 콜라도 재공안하나여? 추가주문한 콜라말고는 안왔네요 달랑 치킨만 오고,2,3,1,1,2021년 6월 23일
21,치킨,강남구 역삼동,BBQ-서초점,ab**님,황금올리브닭다리/1,맛있게 잘 먹었습니다! :-9,5,5,5,5,2021년 6월 23일
22,치킨,강남구 역삼동,BBQ-서초점,ye**님,"황금올리브닭다리/1,코카-콜라 1.25L/1",호엥가성비별로그래도맛은있다,5,5,1,5,2021년 6월 22일
23,치킨,강남구 역삼동,BBQ-서초점,39**님,황금올리브＋콜라1.25/1,황금올리브 짱맛!! 집근처라 포장 주문했는데 사장님이 왕친절하세요~~,5,5,5,,2021년 6월 22일
24,치킨,강남구 역삼동,BBQ-서초점,st**님,황금올리브닭다리/1,몇번 주문한 곳! 만족합니다.,5,5,5,5,2021년 6월 13일
25,치킨,강남구 역삼동,BBQ-서초점,hy**님,황금올리브닭다리（반반）/1,좋아요. 배달도 빠르고 맛도 괜찮아요.,5,5,5,5,2021년 6월 11일
26,치킨,강남구 역삼동,BBQ-서초점,nw**님,"황금올리브핫윙/1,코카-콜라 500ml/1",역시 맛있어요 튀김옷도 바삭거리고 냄새도 없고 맛있게 잘 먹었습니다.,5,5,5,5,2021년 6월 9일
27,치킨,강남구 역삼동,BBQ-서초점,no**님,황금올리브치킨/1,엄마가 입맛없으시다더니 치킨먹을래? 한마디에 치킨...???조아... 이러시길래 같이 시켜먹었어요 맛있게 잘 드시고 잘 주무시더군요^^,5,5,5,5,2021년 5월 26일
28,치킨,강남구 역삼동,BBQ-서초점,hs**님,황금올리브（반반）/1,황홀해지는 황올 ㄹㅇ 존맛탱,5,5,5,5,2021년 5월 15일
29,치킨,강남구 역삼동,BBQ-서초점,sa**님,황금올리브（반반）/1,음 튀김옷이 두껍네요 ㅎㅎㅎ,5,4,5,5,2021년 5월 13일
30,치킨,강남구 역삼동,BBQ-서초점,ka**님,황금올리브치킨/1,맛있게 먹었어요 감사합니다,5,5,5,,2021년 5월 11일
31,치킨,강남구 역삼동,BBQ-서초점,wo**님,황금올리브（반반）/1,왜 퍽퍽할까요.... ㅠㅠ,3,3,3,5,2021년 5월 11일
32,치킨,강남구 역삼동,BBQ-서초점,ch**님,황올반＋순살크래커반＋황금알2개[소스플레이트 증정]/1,치즈볼대신 초코볼도 좋았어요,5,5,5,,2021년 5월 10일
33,치킨,강남구 역삼동,BBQ-서초점,ka**님,순살크래커/1,맛있게 먹었어요😊 감사합니닷!,5,5,5,,2021년 5월 10일
34,치킨,강남구 역삼동,BBQ-서초점,br**님,황금올리브속안심/1,바삭하고 부드럽고!! 맛있다는 얘기지요~!,5,5,5,5,2021년 5월 9일
35,치킨,강남구 역삼동,BBQ-서초점,ga**님,황금올리브핫윙/1,배송빠르고 기대하던 맛이예요,5,5,5,5,2021년 5월 9일
36,치킨,강남구 역삼동,BBQ-서초점,ka**님,자메이카＋케이준감자[소스플레이트 증정]/1,맛있게 먹었습니다:) 감사합니다,5,5,5,,2021년 5월 9일
37,치킨,강남구 역삼동,BBQ-서초점,lk**님,황금올리브치킨/1,배송 빨리왔네요~ 사장님 맛있게 잘먹었습니다~~,5,5,5,5,2021년 5월 9일
38,치킨,강남구 역삼동,BBQ-서초점,ja**님,황금올리브닭다리/1,"평소에 잘먹던 곳인데, 할인이벤트 한다고 갑자기 맛없는 치킨이 왔네요. 실망이 컸습니다.",3,1,4,5,2021년 5월 9일
39,치킨,강남구 역삼동,BBQ-서초점,co**님,소이갈릭스（윙）/1,이건 첨인데 교촌보다 낫다,5,5,5,,2021년 5월 8일
40,치킨,강남구 역삼동,BBQ-서초점,ea**님,순살치즐링/1,아이가 젤 좋아하는 메뉴가 순살치즐링이에요 늘 잘먹고 있습니다,5,5,5,5,2021년 5월 8일
41,치킨,강남구 역삼동,BBQ-서초점,ao**님,"황금올리브（반반）/1,코카-콜라 1.25L/1",너무맛나여조아여 ㅇㅇㅇㅇ,5,5,5,5,2021년 5월 8일
42,치킨,강남구 역삼동,BBQ-서초점,ji**님,황금올리브치킨/1,요청사항 잘 들어주셔서 감사합니다! 맛있게 잘먹었어요~ 다음에도 서초점에서 시킬게요!👍🏻😊,5,5,5,5,2021년 5월 8일
43,치킨,강남구 역삼동,BBQ-서초점,gu**님,황금올리브닭다리/1,시간도 잘맞고 이벤트해서 저렴하게 먹었네요~,5,5,5,,2021년 5월 8일
44,치킨,강남구 역삼동,BBQ-서초점,hr**님,황올한 깐풍순살/1,제입맛엔 좀짜고 뻑뻑살이 많네요,4,4,4,5,2021년 5월 7일
45,치킨,강남구 역삼동,BBQ-서초점,km**님,황금올리브치킨/1,따듯하고 맛있게 잘 먹었습니다~~주말이라 다이어트는 장시 잊었습니다^^,5,5,5,5,2021년 5월 7일
46,치킨,강남구 역삼동,BBQ-서초점,ja**님,황금올리브치킨순살/1,bbq 중에서도 특히 맛난거같다 양도 많고 퍽퍽살인거같는데도 부드럽고 담날 먹어도 바삭함,5,5,5,,2021년 5월 7일
47,치킨,강남구 역삼동,BBQ-서초점,fr**님,스모크치킨/1,스모크 처음 먹어봤는데 맛있어요 ~~~,5,5,5,,2021년 5월 7일
48,치킨,강남구 역삼동,BBQ-서초점,fr**님,황금올리브（반반）/1,후라이드 양념 둘다 맛있어요 ~~ ^^,5,5,5,,2021년 5월 7일
49,치킨,강남구 역삼동,BBQ-서초점,cr**님,핫황올 블랙페퍼 닭다리/1(추가메뉴(BBQ닭껍데기)),배부르게 잘 먹었습니다.,5,5,5,5,2021년 5월 7일
50,치킨,강남구 역삼동,BBQ-서초점,co**님,"황금올리브치킨/1(추가메뉴(BBQ닭껍데기)),황금올리브핫윙/1",야식으로 치킨만한게 없어요 최고에요 아이들과 즐건 야식타임이였습니다,5,5,5,5,2021년 5월 6일
51,치킨,강남구 역삼동,BBQ-서초점,ki**님,핫황금올리브 블랙페퍼/1,"“핫황금올리브 블랙페퍼” 주문했는데, 그냥 일반 황금올리브에 블랙페퍼만 뿌려서 주셨네요. 저번에 다른 어플로 주문했을때는 품절이라며 주문취소 하게끔 전화주셨는데 물론 황올 너무 맛있고 좋아하지만, 오늘은 먹고 싶은 맛이 있었는데 제가 주문한 메뉴가 아닌 새로운 조합의 메뉴가 와버린 것 같아 당황스러웠네요. 아놔.",3,3,5,5,2021년 5월 6일
52,치킨,강남구 역삼동,BBQ-서초점,ka**님,황금올리브치킨/1,맛있게 먹었습니다 감사합니다😄,5,5,5,,2021년 5월 5일
53,치킨,강남구 역삼동,BBQ-서초점,lj**님,황금올리브치킨/1,"처음 시켜봤는데 괜찮네요, 튀김옷도 바삭바삭~",4,4,5,5,2021년 5월 5일
54,치킨,강남구 역삼동,BBQ-서초점,ri**님,황올한 깐풍치킨/1,생각했던 그 맛이라 만족스러웠습니다,5,5,5,,2021년 5월 5일
55,치킨,강남구 역삼동,BBQ-서초점,xi**님,황금올리브핫윙/1,의외로 양많고 배달도 빠르더라구요 간도 잘되있고 튀김이 조금 두꺼운거 빼면 먹을만해요,5,4,5,5,2021년 5월 5일
56,치킨,강남구 역삼동,BBQ-서초점,ma**님,황금올리브속안심/1,"항상 맛있게 잘 먹고 있습니다.할인행사 할 때도 양,맛,배달,모두 다 완벽해서 신뢰가 갑니다.번창하세요^^",5,5,5,5,2021년 5월 5일
57,치킨,강남구 역삼동,BBQ-서초점,lo**님,황금올리브（반반）/1,조금 더 따뜻하면 좋았을텐데 그래도 맛은 있었어요 !,5,5,5,5,2021년 5월 5일
58,치킨,강남구 역삼동,BBQ-서초점,es**님,황금올리브핫윙/1,배달도 빠르게 오고 맛있어요,5,5,5,5,2021년 5월 5일
59,치킨,강남구 역삼동,BBQ-서초점,ki**님,"황금올리브（반반）/1,맥주 1,000CC/1,소주/1","아는분께 선물로 주문한건데 잘 받았다합니다. 근데 양념은 안데우셨나봐요 전자렌지로 데워서 나가는거 뭐,, 딱히 뭐라할 생각은 없는데. 아무리 그래도 너무 차가웠다네요. 괜히 선물해준 저만 욕 먹었네요. 다음엔 조금만 조심 좀 부탁드립니다.",5,5,5,5,2021년 5월 4일
60,치킨,강남구 역삼동,BBQ-서초점,ch**님,"황금올리브（반반）/1,맥주 1,000CC/1",맛집이 할인하니 못참지. 맛있게 잘 먹었습니다,5,5,5,5,2021년 5월 4일
61,치킨,강남구 역삼동,BBQ-서초점,no**님,황올한 깐풍치킨/1,가까워서 포장주문 시켜두고 찾으러 가서 따뜻하고 바삭하게 먹을 수 있어서 좋았어요. 짭짤한 맛이 강해서 밥이랑 먹으면 좋을 거 같아요.,5,5,5,,2021년 5월 4일
62,치킨,강남구 역삼동,BBQ-서초점,pk**님,황금올리브핫윙/1,엄청 바삭하고 맛있어요 근데 핫 윙이란 제목과 맞지않게 안매워요 조금더 매운맛이 가미되면 좋을듯~ 맛있긴 맛있어요,5,5,5,4,2021년 4월 5일
63,치킨,강남구 역삼동,BBQ-서초점,rl**님,"황금올리브（반반）/1,스프라이트1.5L/1",왠만하면 리뷰 좋게쓰는데 치킨이 황금색도 아니고 붉고 튀김도 바삭을 넘어서 푸석이에여 부서져요. 탄건지 기름이 오래된건지 모르겠네요. 비비큐 다른지점 먹어봐도 이런건 처음이에요. 치킨튀길때 확인하시는게 좋겠네요. 황금올리브를 먹는이유가 튀김인데 이건 머 동네치킨집보다 못튀기는거 같네요.,1,1,5,5,2021년 3월 31일
64,치킨,강남구 역삼동,BBQ-서초점,tr**님,다리가 두개 더 세트SET 1/1(추가메뉴(통새우 멘보샤)),항상 맛있었고 이번에도 역시 였습니다~~.,5,5,5,5,2021년 3월 26일
65,치킨,강남구 역삼동,BBQ-서초점,gi**님,"황금올리브치킨/1,코카-콜라 245ml/1",배달 빠르고 늘 맛나요!,5,5,4,5,2021년 3월 18일
66,치킨,강남구 역삼동,BBQ-서초점,71**님,"황금올리브닭다리/1,비비소스 추가/1",맛이 좋고 배달도 빠르고 잘 받았어요,5,5,5,5,2021년 3월 14일
67,치킨,강남구 역삼동,BBQ-서초점,go**님,황금올리브치킨/1,배달 빠르고 맛있고 좋았어요,5,5,5,5,2021년 3월 11일
68,치킨,강남구 역삼동,BBQ-서초점,sh**님,황금올리브（반반）/1,말이 필요 없지요. 맛있슴당!!,5,5,5,5,2021년 3월 10일
69,치킨,강남구 역삼동,BBQ-서초점,ug**님,"황금올리브（반반）/1,코카-콜라 1.25L/1",배송도 빠르고 맛도 좋았어요. 재구매의사 100프로입니다.,5,5,5,5,2021년 3월 10일
70,치킨,강남구 역삼동,BBQ-서초점,pa**님,황금올리브치킨/1,항상 치킨은 BBQ 서초점에서 주문합니다. 기름이 많이 남아있지 않고 바삭하게 튀겨서 옵니다. 최고에요.,5,5,5,5,2021년 3월 10일
71,치킨,강남구 역삼동,BBQ-서초점,mp**님,황금올리브（반반）＋크림치즈볼/1,배달도 빠르고 맛도 맛있어요!,5,5,5,5,2021년 3월 8일
72,치킨,강남구 역삼동,BBQ-서초점,ye**님,황금올리브치킨/1,따끈한 치킨 맛있게 먹었습니다~~,5,5,5,5,2021년 3월 7일
73,치킨,강남구 역삼동,BBQ-서초점,ch**님,"황금올리브（반반）/1,맥주 1,000CC/1",귀찮고싶을때 생맥주 맛도 기가 막힌 맛집입니다.,5,5,5,5,2021년 3월 6일
74,치킨,강남구 역삼동,BBQ-서초점,ch**님,황금올리브치킨/1,양은 그냥 평범한데 맛이 다른 날 또는 다른 지점에 해서 치킨이 좀 눅눅하게왔네요.. 기름도 덜빠지고 맛은 있었습니다..,4,3,4,5,2021년 3월 6일
75,치킨,강남구 역삼동,BBQ-서초점,as**님,황금올리브（반반）/1,비비큐는 처음인데 너무 좋네요!,5,5,5,5,2021년 3월 5일
76,치킨,강남구 역삼동,BBQ-서초점,kh**님,황금올리브（반반）/1,배달도 30분이나 일찍왔네요. 치킨은 가끔 딴거 먹어도 결국 돌고 돌아 BBQ인듯 꿀맛 ㅇㅈㅇㅈ,5,5,5,5,2021년 3월 5일
77,치킨,강남구 역삼동,BBQ-서초점,sm**님,황금올리브（반반）/1,바삭함과 맛은 물론이고 배달도 빨리왔습니다~후라이드는 큰거 4조각인데 양념은 작게 6조각?정도 온거같아요~원래양념은 그른건지..맛있게 잘먹었습니다ㅎㅎㅎ,5,5,5,5,2021년 3월 5일
78,치킨,강남구 역삼동,BBQ-서초점,to**님,황금올리브치킨/1,좋아요 굿이에요. ㅎㅎ,5,5,5,5,2021년 3월 4일
79,치킨,강남구 역삼동,BBQ-서초점,ka**님,황금올리브치킨/1,맛있게 먹었습니다 감사합니다,5,5,5,5,2021년 3월 3일
80,치킨,강남구 역삼동,BBQ-서초점,il**님,핫황금올리브 블랙페퍼/1,좀짜지만 색다른맛이긴하네요,4,4,4,5,2021년 3월 3일
81,치킨,강남구 역삼동,BBQ-서초점,ch**님,황금올리브（반반）/1,맛있게 잘 먹었습니다!,5,5,5,5,2021년 2월 26일
82,치킨,강남구 역삼동,BBQ-서초점,gi**님,"황금올리브치킨/1,코카-콜라 245ml/1",항상 서초점에서 믿고 시켜요😀👍 존맛탱,5,5,5,5,2021년 2월 21일
83,치킨,강남구 역삼동,BBQ-서초점,hs**님,황금올리브（반반）/1,베달이 엄청 빨랐어요.,5,5,4,5,2021년 2월 19일
84,치킨,강남구 역삼동,BBQ-서초점,ja**님,황금올리브치킨/1,맛있어요~ 배달은 빨랐지만 문앞에 둬 달라했지 던져달라한거 아닌데ㅋㅋ 배달원이 봉투 던지는 소리를 다 들어버렸어요ㅜ,5,5,5,2,2021년 2월 18일
85,치킨,강남구 역삼동,BBQ-서초점,ba**님,"황금올리브치킨/1(추가메뉴(새우스틱,케이준감자)),맥주 1,000CC/1",연휴인데도 배송이 괜찮았습니다.,5,5,5,5,2021년 2월 14일
86,치킨,강남구 역삼동,BBQ-서초점,gk**님,황금올리브치킨순살/1,너무ㅠ맛있게잘먹었습니더ㅎㅎㅎㅎㅎ,5,5,5,5,2021년 2월 6일
87,치킨,강남구 역삼동,BBQ-서초점,88**님,"허니버터갈릭스/1,맥주 1,000CC/1",정신없이 먹는 도중 사진을 찍어서 사진은 좀 그렇지만 맛은 진짜 최고에요!!,5,5,5,5,2021년 2월 2일
88,치킨,강남구 역삼동,BBQ-서초점,co**님,황금올리브핫윙/1(추가메뉴(BBQ닭껍데기)),두말 필요없는 맛있는 깔끔한 치킨맛입니다,5,5,5,5,2021년 2월 1일
89,치킨,강남구 역삼동,BBQ-서초점,pi**님,황금올리브핫윙/1(추가메뉴(새우스틱)),새우스틱 기름이 상자 뚜껑에 다 묻어서 아쉬웠어요 그래도 맛은 최고🥲,5,5,5,5,2021년 1월 30일
90,치킨,강남구 역삼동,BBQ-서초점,yo**님,"황금올리브속안심/1(추가메뉴(BBQ닭껍데기)),양념소스 추가/6",늘 bbq는 정답이죠 맛나고 바삭바삭 꿀맛이네요,5,5,5,5,2021년 1월 22일
91,치킨,강남구 역삼동,BBQ-서초점,co**님,황금올리브핫윙/1(추가메뉴(BBQ닭껍데기)),늘 만족하면 맛있게 아이들과 먹습니다 맛조좋고 깔끔히 배송되네요 ^^,5,5,5,5,2021년 1월 21일
92,치킨,강남구 역삼동,BBQ-서초점,53**님,자메이카 통다리구이/1,자주먹어요~~~~~~~,5,5,5,5,2021년 1월 19일
93,치킨,강남구 역삼동,BBQ-서초점,co**님,황금올리브치킨/1(추가메뉴(BBQ닭껍데기)),늘 맛있게 먹고있습니다,5,5,5,5,2021년 1월 15일
94,치킨,강남구 역삼동,BBQ-서초점,mi**님,순살크래커/1(추가메뉴(볼케이노핫소스)),아들이 항상 시켜먹는메뉴 술 안주로 더 좋을듯,4,4,3,5,2021년 1월 4일
95,치킨,강남구 역삼동,BBQ-서초점,ad**님,황금올리브（반반）/1(추가메뉴(케이준감자)),당연히 맛 최고입니다. 아이들이 좋아해요~,5,5,5,5,2020년 12월 31일
96,치킨,강남구 역삼동,BBQ-서초점,sa**님,황금올리브（반반）/1,이 지점이 제일 맛있는 것 같아요 황금올리브닭다리 메뉴가 사라져서 아쉬웠지만 ㅠㅠ 감사합니다!,5,5,5,5,2020년 12월 31일
97,치킨,강남구 역삼동,BBQ-서초점,ki**님,황금올리브닭다리/1,황올 닭다리느 말이 필요 없죠. 정말 맛있네요,5,5,5,5,2020년 12월 30일
98,치킨,강남구 역삼동,BBQ-서초점,no**님,"황금올리브（반반）/1,맥주 1,000CC/1",부모님이 시켜달라고하셔서 시켜드렸습니다.,5,5,5,5,2020년 12월 28일
99,치킨,강남구 역삼동,BBQ-서초점,sj**님,황금올리브（반반）/1,예상보다 빨리 배달와서 맛있게 먹었습니다,5,5,5,5,2020년 12월 27일
100,치킨,강남구 역삼동,BBQ-서초점,pa**님,"황금올리브치킨/1,황금알치즈볼/1,치킨무 추가/1",오동통한 닭다리 아주맛잇게잘먹엇슴니다,5,5,5,5,2020년 12월 19일
101,치킨,강남구 역삼동,BBQ-서초점,ot**님,황금올리브（반반）/1(추가메뉴(황금알치즈볼)),배달도 빠르고 따뜻하게 와서 너무 좋았어요!,5,5,5,5,2020년 12월 16일
102,치킨,강남구 역삼동,BBQ-서초점,se**님,자메이카 통다리구이/1,맛있었습니다~😃😃😃😃😃,5,5,5,5,2020년 12월 10일
103,치킨,강남구 역삼동,BBQ-서초점,ba**님,자메이카 통다리구이/1,배송도 빠르고 맛있네요 ㅎㅎ,5,5,5,5,2020년 12월 9일
104,치킨,강남구 역삼동,BBQ-서초점,ru**님,메이플2개＋황올반＋볼4개랜덤/1,배달도 빠르고 맛있게 잘 먹었습니다 !!,4,3,4,3,2020년 12월 6일
105,치킨,강남구 역삼동,BBQ-서초점,he**님,자메이카 통다리구이/1,예상 시간보다 30분이나 빨리 왓고 맛있엇어요,5,5,5,5,2020년 12월 5일
106,치킨,강남구 역삼동,BBQ-서초점,dr**님,황금올리브치킨/1,잘먹엇습니다아아으아아아아아아,5,5,5,5,2020년 12월 3일
107,치킨,강남구 역삼동,BBQ-서초점,ki**님,"황금올리브닭다리（반반）/1(추가메뉴(bbq크림치즈볼)),멘보샤/1",먹다 죽을뻔...너무맛나,5,5,5,5,2020년 12월 3일
108,치킨,강남구 역삼동,BBQ-서초점,dr**님,황금올리브치킨/1(추가메뉴(황금알치즈볼)),"배달빨랐고 아주 잘먹었습니다 ㅎ.. 5~6년 전에 옆동네 살면서 비비큐 서초점 시켰다가 너무 맛없어서 여기만큼 맛없는데가 없다고 생각해서 그이후로 교대점만 시켰었는데, 이사오고 교대점이 1년전부턴가 맛없어져서 그이후론 서초점을 속는셈치고 시켜봤는데 너무 맛있어졌네요. 항상 잘 이용하고 있습니다. 사장님이 몇년전과 다른 분으로 바뀌셨나보네요. 예전에는 기름덩어리라 kfc같았는데 이제는 그냥 bbq에요.",5,5,5,5,2020년 12월 1일
109,치킨,강남구 역삼동,BBQ-서초점,da**님,황금올리브（반반）/1,예상시간보다 엄청 빨리 와서 좋았어요~,5,5,5,5,2020년 12월 1일
110,치킨,강남구 역삼동,BBQ-서초점,l2**님,황금올리브치킨순살/1,빠른 배달 역시 최고의 맛 좋아요,5,5,5,5,2020년 12월 1일
111,치킨,강남구 역삼동,BBQ-서초점,ba**님,황금올리브핫윙/1,바삭바삭하니 맛있게 잘 먹었어요❤️❤️,5,5,5,5,2020년 11월 28일
112,치킨,강남구 역삼동,BBQ-서초점,wj**님,황금올리브치킨/1,황금올리브는 졸맛탱입니다. 느끼주의.,5,4,5,5,2020년 11월 27일
113,치킨,강남구 역삼동,BBQ-서초점,de**님,극한왕갈비치킨/1,오리지널 양념치킨만 먹다가 오늘은 웬지 질리는거같아 새로운거 시켜봤는데 존맛탱이네여ㅠㅠ 잘목엇습니다~,5,5,5,5,2020년 11월 25일
114,치킨,강남구 역삼동,BBQ-서초점,co**님,황금올리브치킨/1(추가메뉴(BBQ닭껍데기)),아이들과 즐거운 간식타임네요,5,5,5,5,2020년 11월 25일
115,치킨,강남구 역삼동,BBQ-서초점,lj**님,"황금올리브치킨/1,소이갈릭스（윙）/1,맥주 1,000CC/2",사진 찍을새도 없이 30분만에 순삭 ㅋㅋㅋㅋ 넘 맛있어요^^ 또 주문 할께요~,5,5,5,5,2020년 11월 22일
116,치킨,강남구 역삼동,BBQ-서초점,lo**님,황금올리브치킨/1,코로나로 힘든 엄마의 병원생활에 딸이 해드릴수 있는 몇안되는 위로..다양한 음식 시켜드리기.. 면회도 외출도 안되는 병원 생활로 많이 지치셨을꺼에요 엄마 식욕이 자꾸 떨어져서 고민입니다 음식을 거부하시는 중에 그래도 한조각 드셨다니 다행이고 감사합니다.,5,5,5,5,2020년 11월 21일
117,치킨,강남구 역삼동,BBQ-서초점,mu**님,오리지날 양념치킨/1,양념은 BBQ다. 서초점 좋아요.,5,5,5,5,2020년 11월 21일
118,치킨,강남구 역삼동,BBQ-서초점,ly**님,황금올리브치킨/1(추가메뉴(멘보샤)),맛있고 배달도 빨라요~,5,5,5,5,2020년 11월 18일
119,치킨,강남구 역삼동,BBQ-서초점,ji**님,"자메이카 통다리구이/1,코카-콜라 1.25L/1",맛은 당연히 좋은데 너무나 식어서 와서 데워먹어야했어요ㅠㅠ 비오는 날이고 하니 그냥 이해하지만 좀 속상~,3,5,5,3,2020년 11월 18일
120,치킨,강남구 역삼동,BBQ-서초점,se**님,"자메이카 통다리구이/1,맥주 1,000CC/1",🤗🤗🤗🤗🤗 JMT 진리의 자메이카,5,5,5,5,2020년 11월 18일
121,치킨,강남구 역삼동,BBQ-서초점,hy**님,황금올리브（반반）/1,잘먹었습니다 맛있었습니다,5,5,5,5,2020년 11월 18일
122,치킨,강남구 역삼동,BBQ-서초점,li**님,자메이카 통다리구이/1,맛잇고 인정하는맛이에요,5,5,5,5,2020년 11월 17일
123,치킨,강남구 역삼동,BBQ-서초점,ki**님,치본스테이크블랙점보/1,"신메뉴라 주문해 보았어요. 음 맛은 있는데, 엄청 맛있어서 깜짝 놀랄 그런맛은 아닙니다. 양은 혼자 먹기에 딱 좋습니다.",4,4,4,5,2020년 11월 17일
124,치킨,강남구 역삼동,BBQ-서초점,te**님,메이플2개＋황올반＋볼4개랜덤/1,오 진짜 달긴 다네요 두개가 제 한계 ㅜㅜ,5,5,5,5,2020년 11월 16일
125,치킨,강남구 역삼동,BBQ-서초점,wh**님,자메이카 통다리구이/1,다른지점에서 소스가 너무적어서 다시는 안시켜먹어! 했는데 서초점은 요청사항도 잘들어주시구 소스 듬뿍듬뿍 주셔서 끝까지 맛있게먹었습니다:) 아 배달기사님께 문앞에 놓고벨튀 요청드렷는데 문에 걸어주셧더라구용 바닥에 음식놓으면 싫어하시는 분들잇어서 그런듯한데 저희집은 미끄러지면 떨어질수있는 손잡이라 다음에는 문앞에 놓아주세용~.~!!!! 또시킬께요!!!!!,5,5,5,5,2020년 11월 15일
126,치킨,강남구 역삼동,BBQ-서초점,mi**님,황금올리브（반반）/1,황글올리브 반반 치킨 넘넘 맛있어요^^ 미취학 아이들은 후라이드 살짝 매콤하다 얘기하네요ㅎㅎ 어른들이 먹기엔 아주 좋구요ㅋㅋ 맛있는 치킨 감사합니다^^,5,5,5,5,2020년 11월 15일
127,치킨,강남구 역삼동,BBQ-서초점,zb**님,황금올리브치킨/1,ㅡ완전굿입니다요용랄라라,5,5,5,5,2020년 11월 15일
128,치킨,강남구 역삼동,BBQ-서초점,lk**님,매달구/1,빠른배송 ~~ 잘먹었습니다~ 맛은 최고져~~ 배고파서 사진을 깜박했네요 ㅎㅎ;;,5,5,5,5,2020년 11월 14일
