,index,Restaurant,UserID,Menu,Review,Total,Taste,Quantity,Delivery,Date
30,0,브라더탕수-금천구청점,nh**님,"반반탕수육/1(사이즈 선택(小),탕수육 선택(브라더탕수육,매콤양념 탕수육))",        배달은느리고명이서먹었는대명다설사병났습니다먹을수있는거만팔았으면좀탕수육이딱딱하        배달은느리고명이서먹었는대명다설사병났습니다먹을수있는거만팔았으면좀탕수육이딱딱하        배달은느리고명이서먹었는대명다설사병났습니다먹을수있는거만팔았으면좀탕수육이딱딱하        배달은느리고명이서먹었는대명다설사병났습니다먹을수있는거만팔았으면좀탕수육이딱딱하        배달은느리고명이서먹었는대명다설사병났습니다먹을수있는거만팔았으면좀탕수육이딱딱하   ,1,1,1,1,어제
31,94,브라더탕수-금천구청점,손님,"반반탕수육/1(사이즈 선택(中),탕수육 선택(브라더탕수육,사천탕수육),추가 선택(콜라 1.25L 추가))",보통 탕수육하고는 좀 다르네요 중국집에서 시키는 것 하고는달라서 실망이네요,1,2,3,5,2020년 3월 19일
32,16,치킨베이-신림점,dl**님,가성비순살（500g）/1(메뉴 선택(가성비 후라이드)),분기다린 보람이없네요 이게 한마리 실화인가요,1,2,1,1,6일 전
33,87,BHC-신림역점,gu**님,뿌링클/1,뿌링클가루 아끼셔서 부자되세요 항상 시켜먹던 집이 문을 닫아서 시켜봤더니 느낌인지몰라도 닭양도 작고 설마 프차인데 그러시진 않겠지만 말이예요 암튼 저는 경험했다셈 치고 거를게요,1,1,1,,2021년 6월 4일
34,105,BHC-신림역점,tj**님,뿌링클/1,존맛땡입니다 쪼금기름쩌름여,1,1,1,,2021년 5월 30일
35,108,BHC-신림역점,tj**님,뿌링클 콤보/1,전엔맛있었는데 오늘은기름에쩔었어요,1,1,1,,2021년 5월 30일
36,41,교촌치킨-가산디지털점,fe**님,"교촌허니콤보/1,교촌웨지감자/1",치킨 왔는데 이미 개봉된 느낌 코로나도심한데 도저이 먹을용기가없음 전화했는데 콜라랑 위에 무게땜에 이렇게 됬다네용 어이없슴 ,1,1,1,1,2021년 7월 18일
37,52,교촌치킨-가산디지털점,83**님,교촌레드오리지날/1(사이드 메뉴(선택안함)),항상시키는곳인데 오늘닭이요 냄새나서 조금 먹다가 다 버렸습니다,1,1,5,5,2021년 7월 14일
38,79,교촌치킨-가산디지털점,n5**님,교촌허니콤보/1(사이드 메뉴(선택안함)),이사와서 가디점에서 두번시켜먹엇는데 저번에도 실망햇는데 오늘도 실망이네요 이제 여기서안시킬듯요,1,2,3,4,2021년 7월 8일
39,103,교촌치킨-가산디지털점,ke**님,"교촌리얼후라이드/1,교촌허니오리지날/1",소개로 두번째 주문입니다 아이들이 너무 잘먹어서 이번에는 두개 시켰는데 비가오면 봉투에 넣어서 보내주셔야지 이게 뭡니까 두박스 다 눅눅히 반이상 식고 콜라랑 무도 도 미지근하고 허니버터치킨 아래 몇개외에 다 눅눅해졌습니다 자영업하는 남편이 심하게 젖은게 아니니 그냥 먹자고 해서 그냥 먹습니다만 아이들은 맛이 없다고 한두개씩만 먹고 가네요 고객입장에서 조금더 생각했더라면 이런날씨에는 비닐봉투에 한번 넣어서 보내는게 옳다고 생각합니다,1,2,5,1,2021년 7월 3일
40,2,하림두마리순살치킨,gg**님,순살후라이드＋순살간장/1(음료 선택(콜라 500mL)),배고파서먹긴먹었는데엥이게뭐죠떡볶이치킨모두매운맛으로주문했는데떡볶이색부터왜이런거죠,1,1,1,1,2021년 7월 17일
41,4,하림두마리순살치킨,h_**님,순살후라이드＋순살양념/1(음료 선택(콜라 500mL)),배달때문인지튀김때문인지딱딱하고먹기힘들었습니다양념소스는그래도맛있었어요속이너무안좋습니다튀김도덜바삭하고간장은너무짜네요음식이너무짜서먹을수없었음,1,4,4,1,2021년 7월 14일
42,12,하림두마리순살치킨,gg**님,"후라이드반＋간장반/1(음료 선택(콜라 500mL)),소스추가/1(소스 선택(매운양념소스 추가)),소스추가/1(소스 선택(양념소스추가))",한시간이면 온다던 배달이 두시간이나 걸려서 왔고 배달온 상자 상태도 이지경이면 대체 누가 먹고 싶어합니까,1,1,1,1,2021년 6월 14일
43,17,하림두마리순살치킨,el**님,순살간장반＋순살매운양념반/1(음료 선택(콜라 1.25L사이즈변경)),좀 심하다 싶을 정도로 식어서 왔습니다 보통 순살은 닭 다리살로 만드는데 닭 가슴살로 보입니다 기름 잡내도 많이 나네요,1,1,5,1,2021년 6월 4일
44,24,하림두마리순살치킨,su**님,순살후라이드반＋순살양념반/1(음료 선택(콜라 1.25L사이즈변경)),양을 다른 가게 보다 많이 없어요,1,1,1,3,2021년 1월 6일
45,31,하림두마리순살치킨,is**님,순살후라이드반＋순살양념반/1(음료 선택(사이다 1.25L사이즈변경)),가격대비 양도적고 맛없습니다 다시 주문하고 싶진 않네요,1,1,1,4,2020년 9월 9일
46,32,하림두마리순살치킨,ek**님,순살후라이드＋순살양념/1(음료 선택(콜라 500mL)),기름찌든 맛이랑 닭누린내가 너무 심하네요,1,1,3,5,2020년 7월 29일
47,44,하림두마리순살치킨,di**님,순살후라이드＋순살간장/1(음료 선택(사이다 500mL)),배달이 무슨 한시간이 걸리는지 이해가 안되네요 대행사라이더분들이 아니고 매장라이더분이던데 배달은 엄청 늦게오고 그만큼 늦게오니깐 치킨은 눅눅해져서 배달오니 맛의 퀄리티가 떨어져 별로였습니다 후라이드의 바삭함은 다른곳으로 배달갔나봐요 개인적으로 퍽퍽살을 즐거먹는 사람이 아니라서 그런지는 몰라도 퍽퍽살의 비중이 더 많이서 별로였고요,1,1,2,1,2020년 2월 16일
48,50,하림두마리순살치킨,13**님,순살후라이드＋순살간장/1(음료 선택(콜라 500mL)),시간 분 동안 송달하지 못했다 실례지만 먼저 닭을 잡는 거예요,1,1,1,1,2020년 1월 25일
49,56,하림두마리순살치킨,손님,후라이드＋간장/1(음료 선택(콜라 500mL)),배달도늦고 다식어서왔는데 간장치킨은그런대로 튀김옷이얇긴한데 좀실망스러웠어요,1,2,2,3,2019년 12월 26일
50,59,하림두마리순살치킨,ki**님,"순살간장＋순살양념/1(음료 선택(콜라 500mL)),참이슬 후레쉬/2",완전 맛없음 특히 간장치킨에 종이를깔고 배달해주는 집 처음봄 개념도 없고 두번다시 안시켜머금,1,1,1,1,2019년 11월 17일
51,62,하림두마리순살치킨,xu**님,순살후라이드＋순살후라이드/1(음료 선택(콜라 500mL)),너무 어이없어 쓰는리뷰인데 이집맛도별로인데다 배달도 제시간에 안와 시켜놓고 가량 더기다렸어 암만 싸다고 하지만 이건 좀 아닌거 같아요,1,1,4,1,2019년 10월 23일
52,71,하림두마리순살치킨,손님,"후라이드치킨/1(음료 선택(콜라 500mL)),순살 양념치킨/1(음료 선택(콜라 500mL))",챔스 보면서 먹으려고 시켰는데 한시간반째 안오고 축구는 끝나가고 가게는 문닫아서 전화도안받네요 이건뭐죠,1,1,1,1,2019년 6월 2일
53,72,하림두마리순살치킨,ca**님,순살후라이드반＋순살매운양념반/1(음료 선택(콜라 500mL)),예정시간보다 분이 지났는데 배달도 안오고 전화도 안받으시면 어떻하라는거죠,1,1,1,1,2019년 6월 2일
54,79,하림두마리순살치킨,qk**님,후라이드반＋양념반/1(음료 선택(콜라 500mL)),너무 맛없었어요  ,1,1,1,5,2019년 4월 19일
55,84,하림두마리순살치킨,tn**님,순살간장반＋순살양념반/1(음료 선택(콜라 1.25L)),지금 이게 뭐죠  순살을 시켰는데 뼈가 왔네요,1,1,1,1,2019년 4월 2일
56,95,하림두마리순살치킨,sn**님,순살간장반＋순살양념반/1(음료 선택(콜라 500mL)),일단 두명이 절반정도 먹고 나머지 버림 절반도 진짜 간신히 먹음 일단 닭에서 노린내가 많이남 배달 되는동안 완전히 식어서 거의 열기가 없음 왠만하면 좋게 리뷰 쓰거나 아예 안쓰는데 여긴 너무 심해서 글남김,1,1,5,3,2019년 3월 8일
57,98,하림두마리순살치킨,bn**님,순살후라이드＋순살양념/1(음료 선택(사이다 500mL)),꼭 시켜먹으세요들 ,1,1,5,1,2019년 3월 3일
58,100,하림두마리순살치킨,손님,순살 마일드후라이드치킨/1(음료 선택(사이다 500mL)), ,1,1,1,5,2019년 2월 22일
59,103,하림두마리순살치킨,손님,순살후라이드반＋순살양념반/1(음료 선택(콜라 500mL)),양실망현타온다,1,3,1,1,2019년 2월 13일
60,105,하림두마리순살치킨,cj**님,순살후라이드＋순살매운양념/1(음료 선택(콜라 500mL)),두마리 배치기 두마리 두마리,1,2,2,2,2019년 2월 7일
61,1,원조하림두마리순살치킨,ev**님,순살간장＋순살양념/1(음료 선택(콜라 1.25L사이즈변경)),배달도늦고콜라도미지근배달시간이넘길고포테이토바삭하지않아요,1,1,4,1,2021년 7월 22일
62,7,원조하림두마리순살치킨,sa**님,순살간장파닭＋순살양념파닭/1(음료 선택(콜라 500mL)),여기서절대주문하지마세요도착예상시간훌쩍넘어주문한지시간분이치킨이다식어서왔어요시간반걸린건둘째치고비싼돈내고식은치킨먹는게어이,1,1,1,1,2021년 6월 18일
63,10,원조하림두마리순살치킨,62**님,순살간장반＋순살양념반/1(음료 선택(콜라 500mL)),확실히 맛이없긴하네요 걍새벽에 시킬곳없어서 시킨건데 잘못덜렷네요 왼쪽이간장인데 양념이적어서 첨엔후라이드인줄알앗네요,1,1,1,1,2021년 1월 22일
64,17,원조하림두마리순살치킨,52**님,"순살후라이드반＋순살양념반/1(음료 선택(콜라 500mL)),맥스 생맥주 1000cc/3",무슨 치킨이 고기가 없어요 다 버렷음,1,1,1,3,2020년 10월 22일
65,33,원조하림두마리순살치킨,qj**님,양념＋간장/1(음료 선택(콜라 1.25L사이즈변경)),배달시간이 분인데 온시간은분이지난시간이었고 치킨상태는 좀 많이딱딱하네요그리고 많이따뜻하지가않네요,1,3,3,2,2020년 2월 28일
66,36,원조하림두마리순살치킨,손님,순살후라이드＋순살간장/1(음료 선택(콜라 1.25L사이즈변경)),간장순살치킨  간장향나는 치킨 일반 후라이드 순살치킨  튀김옷 고깃 덩어리 치킨양은 적고 조각은 엄청 크고 껍질은 질김 각자라면 봉씩 먹는 남자 두명이 한마리도 다 못먹고 질려서 그만 먹음 엄청 바삭함 딱딱함,1,1,1,2,2019년 11월 29일
67,39,원조하림두마리순살치킨,손님,순살후라이드반＋순살양념반/1(음료 선택(콜라 500mL)),별로에요 후라이드가 눅눅하고 쩐내가 납니다 그나마 양념치킨은 먹을만했구요 배달은 빨랐습니다,1,1,3,4,2019년 11월 6일
68,54,원조하림두마리순살치킨,손님,순살후라이드반＋순살양념반/1(음료 선택(콜라 500mL)),무가 최고로 맛있습니다,1,1,1,3,2019년 6월 7일
69,55,원조하림두마리순살치킨,ls**님,후라이드＋간장/1(음료 선택(콜라 1.25L사이즈변경)),시키지마세요 절대루요 맛도 양도 시간도 하나도 안지킵니다,1,1,1,1,2019년 6월 2일
70,56,원조하림두마리순살치킨,wl**님,순살후라이드반＋순살간장반/1(음료 선택(콜라 500mL)),왠 팔다만 찌꺼기를 가져다 주셨네 순살이라며 살은 어디가고 딱딱한 껍데기만 가득있네 배달은 늦으면서 요청사항 무시하시고 이른시간에도 장사해서 그나마 팔리니까 음식장사가 우스우신가봄 이런걸 돈받고 파는것을 보니 제발 이런데가 더는 없엇으면 좋겠다,1,1,1,1,2019년 5월 31일
71,59,원조하림두마리순살치킨,kd**님,순살양념치킨/1(음료 선택(콜라 1.25L)),개봉시 물때 냄새같은 냄새 올라와서 얘기를 해도 개선이 안되네요,1,1,1,3,2019년 5월 1일
72,65,원조하림두마리순살치킨,손님,"순살후라이드/1(음료 선택(콜라 1.25L)),파 추가/1",맛 별로고 음식이 따뜻하지 않았어요,1,1,3,5,2019년 4월 12일
73,79,원조하림두마리순살치킨,hu**님,순살후라이드＋순살후라이드/1(음료 선택(사이다 500mL)),최악입니다 별 개가 아깝네요 시간분 걸려서 왔구요 맛은 얼마나 형편없던지 최고나쁜 고기를 수십번은 재탕한 듯한 기름으로 튀긴 느낌이에요 어쩌다 괜찮을수도 있지만 절대 비추천입니다 왜 이리 게오냐고 했더니 주문이 많다네요 끝 참내,1,1,2,1,2019년 2월 6일
74,81,원조하림두마리순살치킨,손님,순살후라이드＋순살간장/1(음료 선택(콜라 500mL)),진짜너무합니다 딴거다필요없고 한개만말하자면 순살인데 이렇게 뻑뻑하고 간안되있는곳처음봅니다,1,1,1,1,2019년 2월 6일
75,87,원조하림두마리순살치킨,rl**님,순살후라이드파닭＋순살양념파닭/1(음료 선택(사이다 1.25L)),사장님우리 음식에 장난질하지 말게요 장난하는것도 아니고 닭고기를 뭔 지옥불에 튀기나 딱딱하고 질기고 뭔 고무타이어 씹는줄알았네 입안에서 고기가 사라지는게아니라 턱근육이 사라질것같아 거기다가 기름은 찌벌 얼마나 우려쓰길래 튀김이 검게나와여 뭔 곰국우리는것도아니고 기름좀 더러워졌다 싶으면좀 갈던가 찌벌 튀김이 검게나올정도면 얼마나 재탕한거여 사람처먹는건데 양심있게좀 장사합시다좀 당신 아들딸들이 돈벌어서 이런거 시켜먹는다고 생각하면 열 안나요 이거먹을바에는 걍 밥에 소금뿌려먹는게더 맛있겠네요,1,1,2,1,2019년 1월 17일
76,90,원조하림두마리순살치킨,se**님,양념＋간장/1(음료 선택(콜라 500mL)),인생 최악의 치킨 별하나도 아깝다,1,1,1,1,2018년 12월 28일
77,93,원조하림두마리순살치킨,ki**님,후라이드＋간장/1(음료 선택(콜라 500mL)),누가튀겻는지 궁금하네요 이런상황처음이라 간장은골고루안돠서 간장맛나는건너무간장만먹는거같고 간장덜된데는 걍후라이드맛 후라이드는 아무맛안남 하두 넘배고파서 먹엇는데 먹다가 이건아니니거싶다싶어서올렷음 그리고 후라이드는야염도없고 소금이랑 허니머스타드만오고  다른소비자님들 참고하시길,1,1,4,3,2018년 12월 17일
78,96,원조하림두마리순살치킨,손님,순살후라이드＋순살양념/1(음료 선택(콜라 500mL)),맛도 없고 배달도 느리고 비싸고,1,1,1,1,2018년 12월 12일
79,97,원조하림두마리순살치킨,손님,순살간장＋순살양념/1(음료 선택(콜라 1.25L)),솔직한 리뷰로말하자면 후회합니다 딱 개정도먹고 꺼려집니다,1,1,3,1,2018년 12월 8일
80,108,원조하림두마리순살치킨,손님,후라이드＋간장/1(음료 선택(콜라 1.25L)),간도 안맛고 눌러 퍼진거 같아요,1,1,1,3,2018년 10월 2일
81,109,원조하림두마리순살치킨,손님,후라이드＋양념/1(음료 선택(콜라 500mL)),배달은 한시간 분이 넘어서 왔는데 치킨이 다 식어서 냉동인줄 알았네요 그리고 오시다가 흘리셨어요 정말 이상하게 와도 리뷰한번도 안쓰는데 처음 써보네요 기분이 좋지않네요,1,2,2,1,2018년 9월 29일
82,50,처갓집양념치킨-구로가산점,da**님,슈프림골드양념치킨/1(치킨 선택(순살)),치킨속에서 플라스틱이 나왔어요,1,1,1,1,2021년 6월 13일
83,20,롯데리아-구로IT점,4g**님,"핫크리스피버거세트/1(디저트 변경(세트 포테이토),드링크 변경(세트 콜라（R）)),화이어윙4조각（태）/1",거부기 배달 한시간 ,1,4,4,1,일주일 전
84,59,롯데리아-구로IT점,ki**님,"사각새우더블버거/1,리아미라클버거/1,포테이토（L）/1",배달시간을 못지키실거면 어플에 배달 소요시간을 늘려 놓던가 하는게 맞다고 생각하는데요 분 사이로 해놓고 프로모션이라 늦는다고 써놓는게 소비자로 하여금 어느정도의 기다림은 감수하는 부분이라 생각하지만 늦으면 늦는다고 하거나 프로모션중이어서 분 정도 걸린다 하면 다른 곳에서 시켜먹든지 할 수 있다고 생각합니다 시간이 양해를 구할 수 있는 범위에서 늦는게 정상 아닌가요,1,2,2,1,2021년 7월 17일
85,69,롯데리아-구로IT점,la**님,"모짜렐라인더 버거-베이컨 세트/1(디저트 변경(선택 치즈스틱),드링크 변경(세트 콜라（R）),햄버거 토핑 추가(베이컨 토핑),옵션 추가(시즈닝_칠리맛,시즈닝_오니언맛)),치즈스틱/1",계속 안 오고 있는데요,1,1,1,1,2021년 7월 16일
86,95,롯데리아-구로IT점,ba**님,"한우불고기세트/1(디저트 변경(양념감자（오니언）),드링크 변경(선택 콜라（L）)),치즈스틱/1",배달늦고 주문한 음식이 다 안옴,1,1,1,1,2021년 7월 11일
87,97,롯데리아-구로IT점,da**님,"DoubleX2세트/1(디저트 변경(세트 포테이토),드링크 변경(세트 콜라（R）)),화이어윙4조각（태）/1",너무 제품밀려왔네요 같이시킨치킨도 그렇고 요기요에서 시켰는데 쿠 팡 이 츠쿠폰을 주네요 최악,1,4,1,2,2021년 7월 11일
88,22,킹앤쿡&퓨전떡볶이,eu**님,"곱창떡볶이/1(당신의 선택은~(화끈한 매운맛),떡 선택(쫄깃~ 밀 누들떡),일회용(수저,젓가락))",세명이서 먹으려 주문했는데 셋 다 같은 의견으로 다 버렸어요 떡볶이에서 곱창냄새가나는데 심각하게 안맞는것같아요,1,1,1,1,2021년 6월 12일
